番号,名詞1,助詞1,名詞2,助詞2,名詞3,助詞3,動詞,子ども用解説,大人用解説,,
1138,鳥,が,空,に,,,舞い上がる,「に」は行き先だよ。,到達点。,,
1139,友達,が,教室,で,発表,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1140,先生,が,歴史,について,解説,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
1141,ぼく,は,家,で,映画,を,見る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1142,わたし,は,駅,へ,,,急ぐ,「へ」は行き先だよ。,方向。,,
1143,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1144,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1145,先生,が,学生,に,資料,を,配る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1146,ぼく,は,図書館,で,資料,を,読む,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1147,わたし,は,朝,に,牛乳,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1148,鳥,が,空,を,,,飛び回る,「を」は通る場所だよ。,経路。,,
1149,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1150,先生,が,問題,を,,,解く,「を」は対象だよ。,対格。,,
1151,ぼく,は,経験,をもとに,判断,を,する,「をもとに」は基準、「を」は対象だよ。,基準＋対象。,,
1152,わたし,は,朝,から,活動,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1153,ねこ,が,庭,の,草,で,遊ぶ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1154,犬,が,飼い主,に,気持ち,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1155,先生,が,学生,に,指示,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1156,ぼく,は,友達,と,考え,を,まとめる,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
1157,わたし,は,家,から,駅,まで,歩く,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1158,鳥,が,空,を,,,大きく飛ぶ,「を」は通る場所だよ。,経路。,,
1159,友達,が,教室,に,,,集まる,「に」は行き先だよ。,到達点。,,
1160,先生,が,自然,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
1161,ぼく,は,理由,,判断,を,変える,「で」は理由、「を」は対象だよ。,原因＋対象。,,
1162,わたし,は,朝,に,日記,を,書く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1163,虫,が,石,の,上,で,休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1164,犬,が,飼い主,に,声,を,かける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1165,先生,が,学生,に,説明,を,加える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1166,ぼく,は,友達,と,問題,を,解決する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
1167,わたし,は,家,から,学校,まで,通う,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1168,鳥,が,空,を,,,勢いよく飛ぶ,「を」は通る場所だよ。,経路。,,
1169,友達,が,教室,に,,,入る,「に」は行き先だよ。,到達点。,,
1170,先生,が,社会,について,説明,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
1171,ぼく,は,夜,まで,作業,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
1172,わたし,は,公園,で,景色,を,楽しむ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1173,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1174,犬,が,道,を,,,ゆっくり歩く,「を」は通る場所だよ。,経路。,,
1175,先生,が,学生,と,議題,を,話し合う,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
1176,ぼく,は,朝,から,活動,を,始める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1177,わたし,は,友達,に,相談,を,する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1178,鳥,が,山,に,,,向かう,「に」は行き先だよ。,到達点。,,
1179,友達,が,家,で,準備,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1180,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
1181,ぼく,は,図書館,で,課題,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1182,わたし,は,昼,に,食事,を,とる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1183,ねこ,が,窓,の,外,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1184,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
1185,先生,が,学生,に,知識,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1186,ぼく,は,友達,と,会話,を,する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
1187,わたし,は,駅,から,徒歩,で,移動する,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
1188,鳥,が,川,を,,,渡る,「を」は通る場所だよ。,経路。,,
1189,友達,が,学校,で,活動,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1190,先生,が,本,の,内容,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1191,ぼく,は,夜,に,音楽,を,聴く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1192,わたし,は,公園,で,友達,と,話す,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
1193,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1194,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1195,先生,が,学生,に,課題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1196,ぼく,は,朝,に,準備,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1197,わたし,は,友達,から,情報,を,得る,「から」はもと、「を」は対象だよ。,起点＋対象。,,
1198,鳥,が,空,に,,,飛び立つ,「に」は行き先だよ。,到達点。,,
1199,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1200,先生,が,歴史,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
1201,ぼく,は,結果,から,原因,を,考える,「から」はもと、「を」は考えるものだよ。,原因推定（起点）＋対象。,,
1202,わたし,は,朝,に,目標,を,決める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1203,ねこ,が,庭,の,影,で,休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1204,犬,が,飼い主,に,合図,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1205,先生,が,学生,に,課題,を,提示する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1206,ぼく,は,友達,と,意見,を,比較する,「と」はあいて、「を」は対象だよ。,共同・比較＋対象。,,
1207,わたし,は,家,から,駅,まで,急いで移動する,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1208,鳥,が,空,を,,,旋回する,「を」は通る場所だよ。,経路。,,
1209,友達,が,教室,に,,,駆け込む,「に」は行き先だよ。,到達点。,,
1210,先生,が,環境問題,について,意見,を,述べる,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1211,ぼく,は,夜,まで,研究,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
1212,わたし,は,公園,で,自然,を,観察する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1213,ねこ,が,机,の,角,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1214,犬,が,道,を,,,一直線に走る,「を」は通る場所だよ。,経路。,,
1215,先生,が,学生,と,課題,を,分析する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1216,ぼく,は,朝,から,作業,を,開始する,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1217,わたし,は,友達,に,相談,を,持ちかける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1218,鳥,が,山,に,,,接近する,「に」は行き先だよ。,到達点。,,
1219,友達,が,家,で,計画,を,練る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1220,先生,が,問題,を,,,解釈する,「を」は対象だよ。,対格。,,
1221,ぼく,は,図書館,で,資料,を,整理する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1222,わたし,は,昼,に,昼食,を,済ませる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1223,ねこ,が,窓,の,外,を,見渡す,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1224,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
1225,先生,が,学生,に,知識,を,共有する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1226,ぼく,は,友達,と,考え,を,深める,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1227,わたし,は,駅,から,徒歩,で,移動する,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
1228,鳥,が,川,を,,,横切る,「を」は通る場所だよ。,経路。,,
1229,友達,が,学校,で,実験,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1230,先生,が,本,の,内容,を,解説する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1231,ぼく,は,夜,に,音楽,を,楽しむ,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1232,わたし,は,公園,で,友達,と,議論する,「で」は場所、「と」は相手だよ。,場所＋共同。,,
1233,ねこ,が,棚,の,端,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1234,犬,が,庭,から,外,へ,飛び出す,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1235,先生,が,学生,に,課題,を,配布する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1236,ぼく,は,朝,に,準備,を,整える,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1237,わたし,は,友達,から,情報,を,収集する,「から」はもと、「を」は対象だよ。,起点＋対象。,,
1238,鳥,が,空,に,,,舞う,「に」は行き先だよ。,到達点。,,
1239,友達,が,教室,で,発言,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1240,先生,が,歴史,について,説明,を,する,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1241,ぼく,は,家,で,映画,を,鑑賞する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1242,わたし,は,駅,へ,,,急ぐ,「へ」は方向だよ。,方向。,,
1243,ねこ,が,机,の,下,で,丸くなる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1244,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1245,先生,が,学生,に,資料,を,配る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1246,ぼく,は,図書館,で,資料,を,読む,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1247,わたし,は,朝,に,飲み物,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1248,鳥,が,空,を,,,飛び回る,「を」は通る場所だよ。,経路。,,
1249,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1250,先生,が,問題,を,,,解く,「を」は対象だよ。,対格。,,
1251,ぼく,は,経験,により,判断,を,変える,「により」は理由、「を」は対象だよ。,原因＋対象。,,
1252,わたし,は,朝,から,活動,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1253,ねこ,が,庭,の,草,で,遊ぶ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1254,犬,が,飼い主,に,声,を,届ける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1255,先生,が,学生,に,指示,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1256,ぼく,は,友達,と,計画,を,立てる,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
1257,わたし,は,家,から,駅,まで,歩く,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1258,鳥,が,空,を,,,高く飛ぶ,「を」は通る場所だよ。,経路。,,
1259,友達,が,教室,に,,,入る,「に」は行き先だよ。,到達点。,,
1260,先生,が,自然,について,話,を,する,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1261,ぼく,は,結果,から,理由,を,導く,「から」はもと、「を」は対象だよ。,起点＋対象。,,
1262,わたし,は,昼,に,課題,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1263,ねこ,が,窓,の,近く,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1264,犬,が,主人,に,信頼,を,示す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1265,先生,が,学生,に,方法,を,教える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1266,ぼく,は,友達,と,考え,を,共有する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1267,わたし,は,家,から,図書館,まで,移動する,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1268,鳥,が,空,を,,,滑空する,「を」は通る場所だよ。,経路。,,
1269,友達,が,部屋,に,,,入る,「に」は行き先だよ。,到達点。,,
1270,先生,が,社会問題,について,議論,を,行う,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1271,ぼく,は,夜,まで,読書,を,続ける,「まで」は終わり、「を」は対象だよ。,終点＋対象。,,
1272,わたし,は,公園,で,景色,を,眺める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1273,ねこ,が,机,の,端,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1274,犬,が,道,を,,,歩き回る,「を」は通る場所だよ。,経路。,,
1275,先生,が,学生,と,意見,を,交わす,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1276,ぼく,は,朝,から,勉強,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1277,わたし,は,友達,に,質問,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1278,鳥,が,山,に,,,飛ぶ,「に」は行き先だよ。,到達点。,,
1279,友達,が,家,で,準備,を,整える,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1280,先生,が,問題,を,,,説明する,「を」は対象だよ。,対格。,,
1281,ぼく,は,図書館,で,資料,を,確認する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1282,わたし,は,昼,に,食事,を,取る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1283,ねこ,が,窓,の,外,を,観察する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1284,犬,が,家,に,,,帰る,「に」は行き先だよ。,到達点。,,
1285,先生,が,学生,に,知識,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1286,ぼく,は,友達,と,議題,を,考える,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1287,わたし,は,駅,から,電車,で,通う,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
1288,鳥,が,川,を,,,渡る,「を」は通る場所だよ。,経路。,,
1289,友達,が,学校,で,活動,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1290,先生,が,本,の,内容,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1291,ぼく,は,夜,に,音楽,を,聴く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1292,わたし,は,公園,で,友達,と,会話する,「で」は場所、「と」は相手だよ。,場所＋共同。,,
1293,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1294,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1295,先生,が,学生,に,課題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1296,ぼく,は,朝,に,準備,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1297,わたし,は,友達,から,情報,を,得る,「から」はもと、「を」は対象だよ。,起点＋対象。,,
1298,鳥,が,空,に,,,飛び立つ,「に」は行き先だよ。,到達点。,,
1299,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1300,先生,が,歴史,について,話,を,する,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1301,ぼく,は,経験,から,結論,を,導く,「から」はもと、「を」は対象だよ。,起点（根拠）＋対象。,,
1302,わたし,は,朝,に,計画,を,修正する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1303,ねこ,が,庭,の,石,で,くつろぐ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1304,犬,が,飼い主,に,視線,を,向ける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1305,先生,が,学生,に,資料,を,提示する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1306,ぼく,は,友達,と,考え,を,比較する,「と」は相手、「を」は対象だよ。,共同・比較＋対象。,,
1307,わたし,は,家,から,図書館,まで,歩く,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1308,鳥,が,空,を,,,円を描いて飛ぶ,「を」は通る場所だよ。,経路。,,
1309,友達,が,教室,に,,,走り込む,「に」は行き先だよ。,到達点。,,
1310,先生,が,社会問題,について,見解,を,述べる,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1311,ぼく,は,夜,まで,作業,を,継続する,「まで」は終わり、「を」は対象だよ。,終点＋対象。,,
1312,わたし,は,公園,で,植物,を,観察する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1313,ねこ,が,机,の,端,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1314,犬,が,道,を,,,素早く走る,「を」は通る場所だよ。,経路。,,
1315,先生,が,学生,と,問題,を,検討する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1316,ぼく,は,朝,から,練習,を,開始する,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1317,わたし,は,友達,に,意見,を,求める,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1318,鳥,が,山,に,,,接近する,「に」は行き先だよ。,到達点。,,
1319,友達,が,家,で,計画,を,立てる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1320,先生,が,問題,を,,,分析する,「を」は対象だよ。,対格。,,
1321,ぼく,は,図書館,で,資料,を,整理する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1322,わたし,は,昼,に,昼食,を,取る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1323,ねこ,が,窓,の,外,を,じっと見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1324,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
1325,先生,が,学生,に,方法,を,説明する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1326,ぼく,は,友達,と,考え,を,共有する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1327,わたし,は,駅,から,徒歩,で,通う,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
1328,鳥,が,川,を,,,横断する,「を」は通る場所だよ。,経路。,,
1329,友達,が,学校,で,研究,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1330,先生,が,本,の,内容,を,要約する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1331,ぼく,は,夜,に,音楽,を,鑑賞する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1332,わたし,は,公園,で,友達,と,意見交換する,「で」は場所、「と」は相手だよ。,場所＋共同。,,
1333,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1334,犬,が,庭,から,外,へ,駆け出す,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1335,先生,が,学生,に,課題,を,提示する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1336,ぼく,は,朝,に,準備,を,整える,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1337,わたし,は,友達,から,情報,を,取得する,「から」はもと、「を」は対象だよ。,起点＋対象。,,
1338,鳥,が,空,に,,,舞い上がる,「に」は行き先だよ。,到達点。,,
1339,友達,が,教室,で,発言,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1340,先生,が,歴史,について,説明,を,行う,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1341,ぼく,は,家,で,映画,を,鑑賞する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1342,わたし,は,駅,へ,,,急ぐ,「へ」は方向だよ。,方向。,,
1343,ねこ,が,机,の,下,で,丸くなる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1344,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1345,先生,が,学生,に,資料,を,配布する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1346,ぼく,は,図書館,で,資料,を,確認する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1347,わたし,は,朝,に,飲み物,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1348,鳥,が,空,を,,,飛び続ける,「を」は通る場所だよ。,経路。,,
1349,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1350,先生,が,問題,を,,,解決する,「を」は対象だよ。,対格。,,
1351,ぼく,は,条件,によって,結果,を,変える,「によって」は理由、「を」は対象だよ。,条件＋対象。,,
1352,わたし,は,朝,から,活動,を,開始する,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1353,ねこ,が,庭,の,中,で,遊ぶ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1354,犬,が,飼い主,に,信頼,を,示す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1355,先生,が,学生,に,指示,を,与える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1356,ぼく,は,友達,と,戦略,を,考える,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1357,わたし,は,家,から,学校,まで,通う,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1358,鳥,が,空,を,,,高く舞う,「を」は通る場所だよ。,経路。,,
1359,友達,が,教室,に,,,集まる,「に」は行き先だよ。,到達点。,,
1360,先生,が,自然,について,説明,を,する,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1361,ぼく,は,結果,より,過程,を,重視する,「より」は比べる、「を」は対象だよ。,比較＋対象。,,
1362,わたし,は,昼,に,課題,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1363,ねこ,が,光,の,中,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1364,犬,が,主人,に,注意,を,向ける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1365,先生,が,学生,に,方法,を,教える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1366,ぼく,は,友達,と,意見,を,交換する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1367,わたし,は,家,から,図書館,まで,通う,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1368,鳥,が,空,を,,,滑空する,「を」は通る場所だよ。,経路。,,
1369,友達,が,部屋,に,,,入る,「に」は行き先だよ。,到達点。,,
1370,先生,が,社会問題,について,議論,を,行う,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1371,ぼく,は,夜,まで,読書,を,続ける,「まで」は終わり、「を」は対象だよ。,終点＋対象。,,
1372,わたし,は,公園,で,風景,を,眺める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1373,ねこ,が,机,の,端,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1374,犬,が,道,を,,,歩き回る,「を」は通る場所だよ。,経路。,,
1375,先生,が,学生,と,意見,を,交わす,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1376,ぼく,は,朝,から,勉強,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1377,わたし,は,友達,に,質問,を,する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1378,鳥,が,山,に,,,飛ぶ,「に」は行き先だよ。,到達点。,,
1379,友達,が,家,で,準備,を,整える,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1380,先生,が,問題,を,,,説明する,「を」は対象だよ。,対格。,,
1381,ぼく,は,図書館,で,資料,を,確認する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1382,わたし,は,昼,に,食事,を,取る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1383,ねこ,が,窓,の,外,を,観察する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1384,犬,が,家,に,,,帰る,「に」は行き先だよ。,到達点。,,
1385,先生,が,学生,に,知識,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1386,ぼく,は,友達,と,議題,を,考える,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1387,わたし,は,駅,から,電車,で,通う,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
1388,鳥,が,川,を,,,渡る,「を」は通る場所だよ。,経路。,,
1389,友達,が,学校,で,活動,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1390,先生,が,本,の,内容,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
1391,ぼく,は,夜,に,音楽,を,聴く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1392,わたし,は,公園,で,友達,と,会話する,「で」は場所、「と」は相手だよ。,場所＋共同。,,
1393,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1394,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
1395,先生,が,学生,に,課題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1396,ぼく,は,朝,に,準備,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1397,わたし,は,友達,から,情報,を,得る,「から」はもと、「を」は対象だよ。,起点＋対象。,,
1398,鳥,が,空,に,,,飛び立つ,「に」は行き先だよ。,到達点。,,
1399,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1400,先生,が,歴史,について,話,を,する,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1401,ぼく,は,結果,より,過程,を,重視する,「より」はくらべる、「を」は対象だよ。,比較＋対象。,,
1402,わたし,は,朝,に,計画,を,立てる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
1403,ねこ,が,草,の,中,で,くつろぐ,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1404,犬,が,飼い主,に,期待,を,示す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1405,先生,が,学生,に,方針,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
1406,ぼく,は,友達,と,考え,を,統合する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1407,わたし,は,家,から,学校,まで,移動する,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
1408,鳥,が,空,を,,,旋回する,「を」は通る場所だよ。,経路。,,
1409,友達,が,教室,に,,,急いで入る,「に」は行き先だよ。,到達点。,,
1410,先生,が,社会,について,意見,を,述べる,「について」はテーマ、「を」は対象だよ。,主題＋対象。,,
1411,ぼく,は,夜,まで,作業,を,続行する,「まで」は終わり、「を」は対象だよ。,終点＋対象。,,
1412,わたし,は,公園,で,自然,を,観察する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
1413,ねこ,が,机,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
1414,犬,が,道,を,,,駆け抜ける,「を」は通る場所だよ。,経路。,,
1415,先生,が,学生,と,問題,を,検証する,「と」は相手、「を」は対象だよ。,共同＋対象。,,
1416,ぼく,は,朝,から,練習,を,継続する,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
1417,わたし,は,友達,に,助言,を,求める,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
